,Territorio,Tipo dato,Tipo di coltivazione,Anno,Quintali,Var.%,Classifica
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2013,3683291.0,0.0,7
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2014,2918510.0,-20.76,7
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2015,3969940.0,36.03,6
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2016,5112400.0,28.78,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2017,4484793.0,-12.28,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2018,4514983.0,0.67,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2019,4480133.0,-0.77,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2020,4479133.0,-0.02,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2021,4479133.0,0.0,5
20,Abruzzo,produzione raccolta - quintali ,uva da vino,2022,3553620.0,-20.66,5
13,Basilicata,produzione raccolta - quintali ,uva da vino,2013,224580.0,0.0,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2014,146864.0,-34.61,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2015,130043.0,-11.45,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2016,130600.0,0.43,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2017,146980.0,12.54,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2018,155421.0,5.74,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2019,155421.0,0.0,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2020,155421.0,0.0,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2021,155421.0,0.0,18
13,Basilicata,produzione raccolta - quintali ,uva da vino,2022,146854.0,-5.51,18
9,Calabria,produzione raccolta - quintali ,uva da vino,2013,555995.0,0.0,16
9,Calabria,produzione raccolta - quintali ,uva da vino,2014,465032.0,-16.36,16
9,Calabria,produzione raccolta - quintali ,uva da vino,2015,581172.0,24.97,16
